Coc,Yield
23076.74,9.83
16528.68,7.47
19551.9,9.59
24171.65,6.42
25270.26,8.72
33116.82,12.69
50828.83,24.39
44756.72,17.83
42070.44,19.05
44018.18,19.9
12610.85,6.83
16873.17,10.29
21618.43,10.93
18679.33,8.05
26762.09,16.69
17314.2,4.71
30434.61,11.97
30393.66,11.98
30114.45,13.45
32683.46,9.33
19857.7,42.95
20671.54,31.1
19810.29,23.56
21045.11,13.7
37801.85,42.68
8266.98,3.01
9165.59,4.05
7868.64,1.32
13209.32,5.9
15371.45,6.7
28144.5,36.61
25909.05,32.42
33046.12,39.04
45291.24,67.41
46450.2,56
17705.93,12.94
19259.84,13.54
22560.3,13.57
19083.55,11.61
27507.54,19.94
45239.51,448.89
86765.77,986.21
91442.63,757.92
85801.95,744.01
89025.27,1015.45
22489.75,23.59
35423.48,39.83
31902.74,34.99
29876.36,37.19
